user_id,recommended_items
285,	543851	1801603	1536575	561135	2517632
902,	2128544	1588612	1090310	1469274	714653
948,	2028380	1156414	951143	676558	2087002
1183,	1983757	1438328	1928254	711679	1290786
1286,	2778525	1244196	1386412	657183	2791339
1509,	934469	2187653	1538218	589900	973863
1776,	1118121	1757758	56574	1277140	254458
1982,	2778525	1244196	1386412	657183	2791339
2742,	2778525	1244196	1386412	657183	2791339
3161,	1565316	967007	69820	2228095	2234790
3256,	1672211	2791339	2362507	1927789	1025695
3375,	282884	285761	2455056	1967964	397177
3547,	2778525	1244196	1386412	657183	2791339
3630,	1212173	2079278	546415	1295316	2373828
3806,	1800512	1335394	23981	2183446	2250919
4607,	2778525	1244196	1386412	657183	2791339
5112,	2778525	1244196	1386412	657183	2791339
5627,	374376	2063661	2778525	1244196	1386412
5686,	2568283	1381173	430041	228797	1292994
5738,	2028380	1156414	1073070	1245551	1426983
5839,	2776138	2087002	534046	1721694	91611
6442,	942253	1491437	677711	432522	1746915
7182,	1499162	2772600	2232294	333993	1181478
7693,	2778525	1244196	1386412	657183	2791339
8316,	1804721	2263482	85340	2711033	983047
9660,	1447302	356159	734196	2134619	2246580
9680,	386188	624750	1758923	260770	1064876
10044,	318747	1020875	1834374	1953846	1913741
10316,	2642267	1553467	826942	2163340	2591944
10469,	987162	1756345	2428937	2547410	2527975
10470,	162125	1589181	987162	814701	125527
10870,	2778525	1244196	1386412	657183	2791339
10956,	1724745	701500	2125180	459760	444228
11027,	1982016	366457	2118332	1266881	1092533
11380,	1713185	2047207	2353766	367160	2278169
11423,	2778525	1244196	1386412	657183	2791339
11805,	548132	257322	1900952	2222166	2833675
12046,	1298320	1286007	993397	154639	2637071
12097,	804400	2106311	2791339	906209	1714882
12233,	2778525	1244196	1386412	657183	2791339
12593,	880503	1696399	2339810	2205815	1088968
12626,	327361	932994	1652470	2556995	1941791
12630,	2239409	2443949	2091491	1925386	578650
12671,	952102	2754694	679564	1971924	794156
12689,	2725896	654495	1135075	749431	660656
12750,	2641962	196659	1827533	2013026	2106311
12852,	752443	550947	1604145	536047	1445649
13715,	2778525	1244196	1386412	657183	2791339
14269,	1719972	2407172	324577	785723	2277810
14624,	1301883	1025695	1244196	1326655	12086
14792,	1132800	825006	1310430	1918420	1731527
14966,	2778525	1244196	1386412	657183	2791339
15006,	701793	2181527	942253	2439230	2652451
15100,	1029608	1069226	1366236	876529	1728143
15549,	1553467	433897	826942	536047	2413494
15611,	51108	74727	1465045	1165361	237692
16228,	2778525	1244196	1386412	657183	2791339
16874,	2507411	2477239	2371498	2409634	1382159
16971,	922535	1568168	1576126	930736	1258303
18097,	540654	2258108	1959963	2431623	1584071
18564,	354473	1898363	2791339	1826	1984305
18796,	1860122	1476699	1813897	114871	2730930
18994,	111095	512624	416248	1492328	1804285
