{285:[(543851,0.866312445454),(1801603,0.734190008418),(1536575,0.673327398362),(561135,0.612447208931),(2517632,0.608097733324),]
902:[(2128544,0.918064314462),(1588612,0.912799357313),(1090310,0.908201903816),(1469274,0.900569869143),(714653,0.893062825232),]
948:[(2028380,0.992048049291),(1156414,0.97123169737),(951143,0.827373725358),(676558,0.816119219851),(2087002,0.774759647571),]
1183:[(1983757,0.930948193969),(1438328,0.898594224901),(1928254,0.862682326244),(711679,0.797157713683),(1290786,0.714770000309),]
1286:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
1509:[(934469,0.964766965127),(2187653,0.832573969899),(1538218,0.829113974748),(589900,0.795415504485),(973863,0.694622510085),]
1776:[(1118121,0.635476961544),(1757758,0.388564282484),(56574,0.316445917269),(1277140,0.307997043818),(254458,0.306759761224),]
1982:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
2742:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
3161:[(1565316,0.976139587953),(967007,0.935365174686),(69820,0.926807239665),(2228095,0.883125183556),(2234790,0.875450484858),]
3256:[(1672211,0.763500060589),(2791339,0.728205040001),(2362507,0.676823126342),(1927789,0.640959855553),(1025695,0.623992733886),]
3375:[(282884,0.969508236899),(285761,0.938008863809),(2455056,0.934306768167),(1967964,0.882967161168),(397177,0.871093711841),]
3547:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
3630:[(1212173,0.929211308618),(2079278,0.808422820627),(546415,0.700067806081),(1295316,0.689350298896),(2373828,0.663140756035),]
3806:[(1800512,0.967618906232),(1335394,0.927507981045),(23981,0.91994704724),(2183446,0.89830361728),(2250919,0.776725764675),]
4607:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
5112:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
5627:[(374376,-0.0317917337151),(2063661,-0.912571093074),(2778525,-2),(1244196,-3),(1386412,-4),]
5686:[(2568283,0.910779506306),(1381173,0.814394541678),(430041,0.629757563347),(228797,0.616611678976),(1292994,0.615873727853),]
5738:[(2028380,0.992048049291),(1156414,0.97123169737),(1073070,0.962043991287),(1245551,0.801447337621),(1426983,0.79124670454),]
5839:[(2776138,0.77806314514),(2087002,0.774759647571),(534046,0.765297579298),(1721694,0.76453961771),(91611,0.704908871177),]
6442:[(942253,0.956786987981),(1491437,0.952629737636),(677711,0.90016844146),(432522,0.896754797294),(1746915,0.86575565869),]
7182:[(1499162,0.964512291753),(2772600,0.846119803522),(2232294,0.757665166135),(333993,0.69381678881),(1181478,0.693266719083),]
7693:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
8316:[(1804721,0.942246889308),(2263482,0.933506595448),(85340,0.903806888838),(2711033,0.900536886714),(983047,0.840222657329),]
9660:[(1447302,0.642413646765),(356159,0.625651889891),(734196,0.595982663298),(2134619,0.578223458703),(2246580,0.558752804059),]
9680:[(386188,0.677850012915),(624750,0.645987464923),(1758923,0.168496003307),(260770,0.0995821507703),(1064876,0.0610143550599),]
10044:[(318747,0.708685542308),(1020875,0.102589861023),(1834374,0.0400526839964),(1953846,0.00485421857168),(1913741,-0.109336734818),]
10316:[(2642267,0.93759550384),(1553467,0.880269301472),(826942,0.804820219783),(2163340,0.7649504728),(2591944,0.752290788784),]
10469:[(987162,0.955963045261),(1756345,0.763443333784),(2428937,0.728932411073),(2547410,0.721396346271),(2527975,0.488267971222),]
10470:[(162125,0.956336104173),(1589181,0.837501716009),(987162,0.826853552827),(814701,0.802480943149),(125527,0.685140250905),]
10870:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
10956:[(1724745,0.927683459688),(701500,0.923097216071),(2125180,0.913107091458),(459760,0.841264411768),(444228,0.813126573476),]
11027:[(1982016,0.301837263099),(366457,0.282667059852),(2118332,0.17014606402),(1266881,0.0928838732132),(1092533,0.0834685563207),]
11380:[(1713185,0.93087128901),(2047207,0.895280266646),(2353766,0.858726879556),(367160,0.847944222545),(2278169,0.803480549474),]
11423:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
11805:[(548132,0.945806210312),(257322,0.861712887277),(1900952,0.858054363283),(2222166,0.823509640588),(2833675,0.821680589523),]
12046:[(1298320,0.826657160808),(1286007,0.608856031167),(993397,0.574095250939),(154639,0.391861451459),(2637071,0.378361545253),]
12097:[(804400,0.899775539874),(2106311,0.834939864805),(2791339,0.76004675988),(906209,0.691566489086),(1714882,0.688723502861),]
12233:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
